,index,hospital_name,hospital_ownership,hospital_type,lat,lng,address,city,emergency_services,subtotal_acute_utilization,payroll_employees,hospital_overall_rating,mortality_national_comparison,safety_of_care_national_comparison,readmission_national_comparison,patient_experience_national_comparison,effectiveness_of_care_national_comparison,timeliness_of_care_national_comparison,efficient_use_of_medical_imaging_national_comparison,state
95,95,LOCK HAVEN HOSPITAL,Proprietary,Acute Care Hospitals,41.132812,-77.470183,24 CREE DRIVE,LOCK HAVEN,True,16.0,176.0,4,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Above the national average,Not Available,Pennsylvania
96,96,PUTNAM COUNTY MEMORIAL HOSPITAL,Government - Local,Critical Access Hospitals,40.482025,-93.005987,"1926 OAK STREET,  PO BOX 389",UNIONVILLE,True,28.0,78.32,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Missouri
97,97,PENDER COMMUNITY HOSPITAL,Government - Hospital District or Authority,Critical Access Hospitals,42.1055877,-96.7110334,"P O BOX 100, 100 HOSPITAL DRIVE",PENDER,True,30.0,151.09,4,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Above the national average,Not Available,Nebraska
98,98,BARRETT HOSPITAL & HEALTHCARE,Government - Hospital District or Authority,Critical Access Hospitals,45.200654,-112.646003,600 MT HWY 91 S,DILLON,True,36.0,219.34,4,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Montana
99,99,SURPRISE VALLEY COMMUNITY HOSPITAL,Government - Local,Critical Access Hospitals,41.531931,-120.171899,741 NORTH MAIN STREET,CEDARVILLE,True,25.0,48.56,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,California
100,100,LAKES REGIONAL HEALTHCARE,Voluntary non-profit - Other,Acute Care Hospitals,43.418396,-95.126312,2301 HIGHWAY 71,SPIRIT LAKE,True,20.0,214.92,5,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Iowa
101,101,DALLAS COUNTY HOSPITAL,Voluntary non-profit - Other,Critical Access Hospitals,41.833959,-94.094469,610 TENTH STREET,PERRY,True,8.0,84.71,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,Iowa
102,102,NEW ORLEANS EAST HOSPITAL,Government - Hospital District or Authority,Acute Care Hospitals,30.030738,-89.971583,5620 READ BLVD,NEW ORLEANS,True,25.0,429.3,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Below the national average,Not Available,Louisiana
103,103,BRIDGTON HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,44.047249,-70.712777,10 HOSPITAL DRIVE,BRIDGTON,True,41.0,209.0,4,Same as the national average,Not Available,Above the national average,Same as the national average,Not Available,Same as the national average,Same as the national average,Maine
104,104,BOB WILSON MEMORIAL GRANT COUNTY HOSPITAL,Proprietary,Acute Care Hospitals,37.583992,-101.358013,415 N MAIN STREET,ULYSSES,True,24.0,71.59,3,Not Available,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Kansas
105,105,NORTON COUNTY HOSPITAL,Government - Local,Critical Access Hospitals,39.838529,-99.888742,102 E HOLME STREET,NORTON,True,12.0,106.41,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available,Above the national average,Not Available,Kansas
106,106,BLUEGRASS COMMUNITY HOSPITAL,Proprietary,Critical Access Hospitals,38.055343,-84.723415,360 AMSDEN AVENUE,VERSAILLES,True,25.0,92.47,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Above the national average,Same as the national average,Kentucky
107,107,ST ELIZABETH GRANT,Voluntary non-profit - Church,Critical Access Hospitals,38.647862,-84.578264,238 BARNES ROAD,WILLIAMSTOWN,True,10.0,102.95,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Same as the national average,Kentucky
108,108,CYPRESS POINTE SURGICAL HOSPITAL,Physician,Acute Care Hospitals,30.477042,-90.414264,42570 SOUTH AIRPORT RD,HAMMOND,False,8.0,149.46,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average,Not Available,Not Available,Louisiana
109,109,BRISTOW MEDICAL CENTER,Government - Hospital District or Authority,Acute Care Hospitals,35.833838,-96.400714,700 W. 7TH STREET,BRISTOW,True,13.0,268.29,3,Not Available,Not Available,Below the national average,Not Available,Below the national average,Above the national average,Not Available,Oklahoma
110,110,NEWMAN MEMORIAL HOSPITAL,Government - Local,Critical Access Hospitals,36.268132,-99.881538,905 SOUTH MAIN STREET,SHATTUCK,True,8.0,48.69,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Same as the national average,Oklahoma
111,111,CHRISTUS MOTHER FRANCES HOSPITAL- WINNSBORO,Voluntary non-profit - Private,Critical Access Hospitals,32.947643,-95.30623,719 WEST COKE ROAD,WINNSBORO,True,27.0,96.68,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Texas
112,112,GOODALL WITCHER HOSPITAL,Government - Hospital District or Authority,Critical Access Hospitals,31.777153,-97.588431,101 POSEY AVENUE,CLIFTON,True,33.0,182.58,4,Not Available,Not Available,Above the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Texas
113,113,SANFORD BAGLEY MEDICAL CENTER,Voluntary non-profit - Private,Critical Access Hospitals,47.525837,-95.401676,203 4TH STREET NORTHWEST,BAGLEY,True,11.0,66.77,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Minnesota
114,114,MUNICIPAL HOSPITAL AND GRANITE MANOR,Government - Local,Critical Access Hospitals,44.808737,-95.542467,345 TENTH AVENUE,GRANITE FALLS,True,16.0,200.32,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Minnesota
115,115,GLENN MEDICAL CENTER,Government - Federal,Critical Access Hospitals,39.520467,-122.20812,1133 W SYCAMORE ST,WILLOWS,True,115.0,162.49,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Same as the national average,Not Available,California
116,116,HAYWARD AREA MEMORIAL HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,46.0354,-91.488465,11040 N STATE RD 77,HAYWARD,True,33.0,264.29,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Wisconsin
117,117,THAYER COUNTY HEALTH SERVICES,Government - Local,Critical Access Hospitals,40.160123,-97.593267,120 PARK AVE,HEBRON,True,19.0,124.51,4,Same as the national average,Not Available,Above the national average,Not Available,Not Available,Above the national average,Not Available,Nebraska
118,118,MERCYONE OAKLAND MEDICAL CENTER,Voluntary non-profit - Private,Critical Access Hospitals,41.834571,-96.459197,601 EAST SECOND ST,OAKLAND,True,5.0,47.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Nebraska
119,119,AVERA ST ANTHONY'S HOSPITAL,Voluntary non-profit - Church,Critical Access Hospitals,42.460338,-98.651118,300 NORTH 2ND ST,O' NEILL,True,42.0,202.79,3,Same as the national average,Not Available,Below the national average,Above the national average,Not Available,Above the national average,Same as the national average,Nebraska
120,120,ST VINCENT RANDOLPH HOSPITAL INC,Voluntary non-profit - Private,Critical Access Hospitals,40.167877,-84.970394,473 E GREENVILLE AVE,WINCHESTER,True,17.0,75.06,4,Not Available,Not Available,Same as the national average,Above the national average,Same as the national average,Same as the national average,Not Available,Indiana
121,121,RUSSELLVILLE HOSPITAL,Proprietary,Acute Care Hospitals,34.511165,-87.717585,15155 HIGHWAY 43,RUSSELLVILLE,True,39.0,175.51,4,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Alabama
122,122,MULESHOE AREA MEDICAL CENTER,Proprietary,Critical Access Hospitals,34.221029,-102.728458,708 S 1ST ST,MULESHOE,True,9.0,79.68,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Above the national average,Not Available,Texas
123,123,EASTERN PLUMAS HOSPITAL - PORTOLA CAMPUS,Government - Hospital District or Authority,Critical Access Hospitals,39.806144,-120.463129,500 FIRST AVENUE,PORTOLA,True,34.0,204.58,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,California
124,124,SWIFT COUNTY BENSON HOSPITAL,Government - Hospital District or Authority,Critical Access Hospitals,45.314757,-95.608952,1815 WISCONSIN AVENUE,BENSON,True,12.0,77.81,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Minnesota
125,125,SOUTHWEST HEALTHCARE SERVICES,Voluntary non-profit - Private,Critical Access Hospitals,46.184191,-103.406713,802 2ND ST NW,BOWMAN,True,13.0,113.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,North Dakota
126,126,ST CHARLES MADRAS,Voluntary non-profit - Private,Critical Access Hospitals,44.637362,-121.121358,470 NE A STREET,MADRAS,True,31.0,141.32,3,Not Available,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Oregon
127,127,CLAIBORNE COUNTY HOSPITAL,Government - Local,Critical Access Hospitals,31.945992,-90.985395,123 MCCOMB AVENUE,PORT GIBSON,False,36.0,100.7,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,Mississippi
128,128,MCKENZIE COUNTY HEALTHCARE SYSTEMS INC,Voluntary non-profit - Private,Critical Access Hospitals,47.804682,-103.271358,709 4TH AVE NE,WATFORD CITY,True,7.0,128.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,North Dakota
129,129,CALAIS REGIONAL HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,45.180639,-67.270521,24 HOSPITAL LANE,CALAIS,True,35.0,211.47,3,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Below the national average,Same as the national average,Maine
130,130,COMANCHE COUNTY HOSPITAL,Government - Local,Critical Access Hospitals,37.267946,-99.3321152,2ND & FRISCO STREET,COLDWATER,True,20.0,46.51,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Kansas
131,131,SWEETWATER HOSPITAL ASSOCIATION,Voluntary non-profit - Private,Acute Care Hospitals,35.60025,-84.464223,304 WRIGHT ST,SWEETWATER,True,45.0,457.33,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Tennessee
132,132,EASTLAND MEMORIAL HOSPITAL,Government - Hospital District or Authority,Acute Care Hospitals,32.400439,-98.821636,304 S DAUGHERTY,EASTLAND,True,24.0,159.64,4,Same as the national average,Not Available,Above the national average,Not Available,Below the national average,Same as the national average,Below the national average,Texas
133,133,"PORTER HOSPITAL, INC",Voluntary non-profit - Private,Critical Access Hospitals,43.99947,-73.169803,115 PORTER DRIVE,MIDDLEBURY,True,69.0,458.0,4,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Not Available,Same as the national average,Vermont
134,134,HAZARD ARH REGIONAL MEDICAL CENTER,Voluntary non-profit - Private,Acute Care Hospitals,37.279027,-83.227413,100 MEDICAL CENTER DRIVE,HAZARD,True,67.0,1108.09,1,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Kentucky
135,135,PLAINS MEMORIAL HOSPITAL,Government - Hospital District or Authority,Critical Access Hospitals,34.555591,-102.315764,310 WEST HALSELL STREET,DIMMITT,True,16.0,103.74,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,Texas
136,136,ASHLEY COUNTY MEDICAL CENTER,Voluntary non-profit - Private,Critical Access Hospitals,33.137206,-91.93878,1015 UNITY ROAD,CROSSETT,True,42.0,285.16,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Above the national average,Below the national average,Arkansas
137,137,SPRING VIEW HOSPITAL,Proprietary,Acute Care Hospitals,37.570325,-85.259397,320 LORETTO ROAD,LEBANON,True,13.0,220.12,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Kentucky
138,138,FRANKLIN MEMORIAL HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,44.625115,-70.161244,111 FRANKLIN HEALTH COMMONS,FARMINGTON,True,38.0,627.91,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Maine
139,139,MANIILAQ HEALTH CENTER,Tribal,Critical Access Hospitals,66.8961387,-162.5868698,PO BOX 43,KOTZEBUE,True,23.0,387.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Alaska
140,140,MT EDGECUMBE HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,57.05201,-135.356353,222 TONGASS DR,SITKA,True,37.0,654.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Alaska
141,141,WASHINGTON HEALTH SYSTEM GREENE,Voluntary non-profit - Private,Acute Care Hospitals,39.900605,-80.173929,350 BONAR AVENUE,WAYNESBURG,True,35.0,135.09,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Pennsylvania
142,142,LANDMANN-JUNGMAN MEMORIAL HOSPITAL - CAH,Government - Local,Critical Access Hospitals,43.149494,-97.728104,600 BILLARS ST,SCOTLAND,True,5.0,26.73,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,South Dakota
143,143,BEAR LAKE MEMORIAL HOSPITAL,Government - Local,Critical Access Hospitals,42.316242,-111.300847,164 SOUTH FIFTH STREET,MONTPELIER,True,26.0,217.44,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Above the national average,Not Available,Idaho
144,144,OHIO COUNTY HOSPITAL,Proprietary,Critical Access Hospitals,37.447649,-86.896474,1211 OLD MAIN STREET,HARTFORD,True,37.0,385.47,4,Same as the national average,Not Available,Above the national average,Above the national average,Not Available,Not Available,Same as the national average,Kentucky
145,145,KIT CARSON COUNTY MEMORIAL HOSPITAL,Government - Hospital District or Authority,Critical Access Hospitals,39.302378,-102.270711,286 16TH ST,BURLINGTON,True,25.0,112.26,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Above the national average,Not Available,Colorado
